step,simulated_time_sec,velocity_clicks_per_min,toxicity,expected_reward,rpe,dopamine_level,dopamine_baseline,tolerance,risk_index,control_signal_u,intervention_type,interaction_type,lambda_intensity,alpha1_effective,alpha2,decay_factor
69,1505.4414860987247,1073.9493664302347,0.7619054765763592,0.7190939302930304,0.34529298044358603,1.0,0.2,0.7190939302930304,0.88405973830096,0.5085218647563077,break,click,3.4567005589876545,0.5047621906305437,0.3,1.0
70,1512.1486686157668,4472.8170023364055,0.967238017005245,0.7714745897908316,0.28090606970696963,1.0,0.2,0.7714745897908316,0.9459284971793039,0.5378962588561458,break,click,1.206469385303123,0.5868952068020981,0.3,1.0
71,1523.4614799376195,1378.9675754483537,0.9824386671628056,0.8140878081924445,0.2285254102091684,1.0,0.2,0.8140878081924445,0.9507371063938701,0.5901260020598847,break,click,1.017014732402452,0.5929754668651223,0.3,1.0
72,1545.189367851094,220.91424712400686,0.9427053924101827,0.8016703166210827,-0.06659230308234454,0.9043056815041778,0.2,0.8016703166210827,0.9392361169800036,0.6461012573555878,break,click,0.3018263877655957,0.5518302826576958,0.3,0.9562421502698629
73,1563.238035830328,232.70415328334963,0.8369916566357334,0.7844601647221794,-0.09229429669902889,0.6687457539921505,0.2,0.7844601647221794,0.7520344973706986,0.6688905812273287,break,click,0.30715598727055005,0.42151645388761233,0.3,0.7881807859374987
74,1571.3904369921054,73.59794839502135,0.8949007537723865,0.7387726200771655,-0.24501235234220942,0.49454613924203666,0.2,0.7387726200771655,0.6544955650082053,0.7085174171924375,break,click,2.1798868558574647,0.34596478399316377,0.3,0.620052686647298
75,1604.7624527243286,269.6870357552249,0.9042435363706242,0.7481815314746212,0.050457942802177747,0.5305692428260141,0.2,0.7481815314746212,0.5721273382180515,0.7285539666919386,break,click,0.3000007996749029,0.29315998914282765,0.3,0.521917996326553
76,1609.7673131374022,0.0,1.0,0.701903028815793,-0.2481815314746212,0.7079438024840452,0.2,0.701903028815793,0.829151020499339,0.8262185825397109,break,click,0.30000006548198505,0.1828978786633833,0.3,0.30482979777230546
77,1618.9889749842087,130.12838899699773,0.8469695300670032,0.680317632901554,-0.11575777753604433,0.5235336033594031,0.2,0.680317632901554,0.6610724683010235,0.7862387061572524,break,click,0.3117877226799148,0.20730337070061558,0.3,0.38475883469001626
78,1628.3225418771738,128.56821124884752,0.9148608374963779,0.6687234738476244,-0.062176950092305616,0.3871598746747386,0.2,0.6687234738476244,0.5912984630197926,0.7830185350705843,break,click,0.31138285532811893,0.20363378823299932,0.3,0.3598123978633352
79,1652.5914856965703,222.50659279552738,0.9142757281364915,0.6811326354392413,0.0665476312150306,0.4829763308404729,0.2,0.6811326354392413,0.5245553124144324,0.7196724776725963,break,click,0.30024024087906326,0.25704206545236075,0.3,0.45437049568659793
80,1664.9877739655572,145.2047549187176,0.827365589814578,0.6651066449604035,-0.0859438968835553,0.7376552450030659,0.2,0.6651066449604035,0.7988454611565848,0.790169556749791,break,click,0.3341829861098014,0.19352983082938047,0.3,0.3644998640811816
81,1673.2272759472814,72.8199351527358,0.9685890932388868,0.6483639961585189,-0.08978717940004044,0.5455055995947106,0.2,0.6483639961585189,0.7141817933092813,0.7317031779179729,break,click,0.3275498957893157,0.29982327309713835,0.3,0.5103934015264538
82,1712.511397237768,290.1935852326358,0.8404609579413135,0.6734644866682045,0.1346084643529326,0.782618601691187,0.2,0.6734644866682045,0.5817681324583475,0.7068134806429999,break,click,0.30000006187104333,0.28544254385559314,0.3,0.5323589287784577
83,1732.351420906177,90.72569821910616,0.8462974632639166,0.6479350829912905,-0.13690863226236338,0.9043056815041778,0.2,0.6479350829912905,0.9173155870250183,0.7047409547747041,break,click,0.3001015353841252,0.31754102016817676,0.3,0.5896561288140982
84,1759.7117983038756,241.2247427754837,0.9048559879863545,0.6677053878472373,0.10602383947124128,1.0,0.2,0.6677053878472373,0.779325724666814,0.6409419564123339,break,click,0.30002738444025856,0.44765053415918377,0.3,0.7966128521130876
85,1842.0755376852128,364.2379550192902,1.0,0.7213327856869947,0.2875920559268754,1.0,0.2,0.7213327856869947,0.9651745110482917,0.6095268234064889,break,click,0.3000000000000006,0.5846414671977802,0.3,0.9744024453296335
86,1847.4328512740856,895.971445459086,0.8524234889674493,0.7732959649851747,0.27866721431300534,1.0,0.2,0.7732959649851747,0.9239520666045018,0.5554045669797547,break,click,4.03657431915145,0.5409693955869798,0.3,1.0
87,1853.182257882985,5217.929786625994,0.8808298906968095,0.8155695508755637,0.22670403501482528,1.0,0.2,0.8155695508755637,0.93267240614512,0.5667218381065399,break,click,3.8808751305779894,0.5523319562787239,0.3,1.0
88,1901.8430109218496,295.9263698303008,0.7751891658478169,0.8047417746907907,-0.0580670056637792,0.9043056815041778,0.2,0.8047417746907907,0.901193129675937,0.6135739223336427,break,click,0.3000000009243808,0.4938344934536991,0.3,0.9681592870289373
89,1915.5859133795118,174.63559880408545,0.7010478823031638,0.7607490624902384,-0.2359233350341019,0.6687457539921505,0.2,0.7607490624902384,0.7244607592587335,0.6483397536923683,break,click,0.32505970900010706,0.37615501541818747,0.3,0.7829725628774721
90,1930.6835492952762,119.22396393997684,0.9896119154379688,0.7389482238707602,-0.11691314984628298,0.49454613924203666,0.2,0.7389482238707602,0.6959588348985906,0.6930505163919431,break,click,0.30272115555518575,0.3664225158234987,0.3,0.6149630518291149
91,1989.0197709216734,287.985740790555,0.859085656655193,0.7483792949677635,0.05057678044503,0.5308663369331448,0.2,0.7483792949677635,0.571887126610947,0.707813662244565,break,click,0.3000000000505307,0.28925955826769356,0.3,0.5320848558206075
92,2077.238953799881,6.801241866276866,0.7807098102739748,0.6832036412099689,-0.34952283749792995,0.708749794151104,0.2,0.6832036412099689,0.7781304855001943,0.8054194967104441,break,click,0.3,0.1663740002998289,0.3,0.3247691221015896
93,2090.143431704475,139.4864645674051,0.7866216328909073,0.6616598344320053,-0.11553474405525888,0.5241296446274419,0.2,0.6616598344320053,0.6606773325035686,0.7814279599719377,break,click,0.31414554230754715,0.18879220656542336,0.3,0.36683707497834184
94,2097.781368299962,78.55524754611157,0.8684819760167379,0.6375632402462252,-0.12922478699099682,0.3876006549057574,0.2,0.6375632402462252,0.5951274239988209,0.7653181133914985,break,click,1.4447187153650223,0.1989121571542689,0.3,0.36338103212226014
95,2123.4721532432172,233.54677613987337,0.7794858339043744,0.6457890351838365,0.0441131468808037,0.42725057631032715,0.2,0.6457890351838365,0.501721981869635,0.7094529349953901,break,click,0.30001528697413143,0.21370251986358169,0.3,0.41755546290705015
96,2133.568962711153,118.84942503974356,0.7679007345465594,0.6246662519249164,-0.11327688661087731,0.5858239703500586,0.2,0.6246662519249164,0.6977071235793612,0.8609582868943146,break,click,0.30505584574675026,0.10073776753230275,0.3,0.19863102210507377
97,2154.113534478883,146.02397333548333,0.8273613362574107,0.6193601223952963,-0.028455617126856847,0.43322440715707844,0.2,0.6193601223952963,0.6146706006257223,0.8145654788998554,break,click,0.30082376641594477,0.14493994277979247,0.3,0.2729850923420387
98,2163.8191316545544,123.63999641443759,0.7899009571771198,0.6063333677457323,-0.06985964828868929,0.3203750554017993,0.2,0.6063333677457323,0.5293187031129858,0.7603418073783207,break,click,0.366585579218454,0.17664876418433492,0.3,0.3423688524329058
99,2170.5832547749833,88.70329373335561,0.8983819751973876,0.5977066398577998,-0.046263262980344,0.23692149940779006,0.2,0.5977066398577998,0.5068516700308733,0.7051930395387249,break,click,0.3536901092814947,0.23557299810994192,0.3,0.42115280783115394
100,2178.8659741018073,0.0,0.7778319403483439,0.5587733658761282,-0.20879066968362786,0.17520651478698182,0.2,0.5587733658761282,0.42998975577256693,0.5817264555658472,break,click,0.30085331981613916,0.3054190308473538,0.3,0.5975336450818698
101,2185.1481564584055,95.50821130968927,0.8831386571950312,0.559180100061266,0.0021812268584988637,0.14873148246880427,0.2,0.559180100061266,0.43160738613359206,0.45876907044920173,break,click,0.31422469438577383,0.42776996221705593,0.3,0.7731870553827231
102,2199.602278073356,41.51065114737897,0.9183296723270686,0.5502058497670805,-0.04812694996350797,0.14436120381902887,0.2,0.5502058497670805,0.4522128849570629,0.3371617181362447,friction,click,0.30025124255503177,0.5372132680753489,0.3,0.9469118473597489
103,2208.8818133003897,775.9009286396588,0.8567322605955905,0.6340791325766361,0.44979415023291947,1.0,0.2,0.6340791325766361,0.4093188792870651,0.1354888759830494,none,click,14.900466475053449,0.5426929042382362,0.3,1.0
