step,simulated_time_sec,dopamine_level,toxicity,control_signal_u,friction_delay_applied
109,2368.26959180555,0.6687457539921505,0.8038966538208083,0.9216652605353298,2.3041631513383245
110,2409.2650641021432,0.49454613924203666,0.8510953525533459,0.8616067962399735,2.1540169905999336
111,2418.4003765223724,0.3657232698363789,0.7369226639809959,0.7958494244075706,1.9896235610189263
112,2435.7453061225465,0.2704570908283893,0.7914616604999759,0.7043521439112691,1.7608803597781728
113,2458.904338613421,0.8312960988146645,0.8175062011860056,0.6007708800039989,1.5019272000099972
114,2470.1956447365405,1.0,0.8221423957041962,0.8329367441407564,2.082341860351891
115,2476.719608612892,0.9043056815041778,0.8017453055811257,0.7799289374222852,1.949822343555713
116,2495.1844541641244,0.8394656128754407,0.8011085988243738,0.7143047633483715,1.7857619083709286
117,2521.916646335034,1.0,0.8352779139210679,0.681027442993023,1.7025686074825575
118,2527.5451670716616,1.0,0.33625447494570954,0.6161557358003793,0.0
119,2533.2597098863753,1.0,0.43457903807429776,0.5691263071906718,0.0
120,2542.955405608594,1.0,0.4012460585186687,0.5887637161116516,0.0
121,2548.25833728215,1.0,0.4554685601517412,0.6468600049430471,0.0
122,2594.3657141622984,0.9043056815041778,0.5044427294083127,0.7046321760685592,1.761580440171398
123,2609.2345478843017,0.6687457539921505,0.4815267799195123,0.7310913037961172,1.827728259490293
124,2648.400854804198,0.49454613924203666,0.8486496574676965,0.7792480482363262,1.9481201205908154
125,2665.83754468929,0.3657232698363789,0.8259509954355818,0.8055348320118519,2.0138370800296297
126,2703.2189762408866,0.3317531586998862,0.7749032986428834,0.7690939499864143,1.9227348749660358
127,2714.553561868106,0.3591046171510141,0.17270930917385624,0.6082946089205752,1.520736522301438
128,2747.9142301693623,0.2655625115163097,0.7102598756268291,0.5512217177181884,1.378054294295471
129,2762.371347358065,0.19638691388140223,0.7036618651803013,0.40313916016454193,1.0078479004113547
130,2780.066486210938,0.9135696351620939,0.8118063520982811,0.24381875934716835,0.0
131,2797.656270108418,0.9043056815041778,0.37313974543605366,0.48807755480943904,1.2201938870235975
132,2810.9362297297716,0.6687457539921505,0.3636386906748388,0.5220656599138397,1.3051641497845992
133,2825.4701343856573,0.49454613924203666,0.5071769699243424,0.5028847334326135,1.2572118335815339
134,2877.73236430432,0.3657232698363789,0.7345268548874839,0.464170617679024,1.16042654419756
135,2899.1777726948294,1.0,0.8174186148354823,0.3850083558926119,0.9625208897315297
136,2913.967653045486,0.9043056815041778,0.2048177915114941,0.5424317128297076,1.356079282074269
137,2931.9600150964834,0.6687457539921505,0.3805386248239875,0.5812816976362974,1.4532042440907436
138,2940.0602629812975,0.49454613924203666,0.7604687195791843,0.6674521659756555,1.6686304149391387
139,2962.795611662266,0.8651744391931211,0.6995450353038326,0.615894068919127,1.5397351722978176
